Country,Cause,CancerSite,ageStart,ageGroup,ageLabel,Females_2011,Females_2012,Females_2013,Females_2014,Females_2015,Females_2016,Females_2017,Males_2011,Males_2012,Males_2013,Males_2014,Males_2015,Males_2016,Males_2017
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,20,20-24,From 20 to 24 years,0,1,0,0,2,0,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,25,25-29,From 25 to 29 years,1,0,1,0,2,0,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,30,30-34,From 30 to 34 years,2,3,0,2,3,3,0,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,35,35-39,From 35 to 39 years,3,7,5,2,7,4,2,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,40,40-44,From 40 to 44 years,10,7,3,8,8,7,6,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,45,45-49,From 45 to 49 years,10,12,11,14,11,14,16,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,50,50-54,From 50 to 54 years,16,16,12,20,5,7,14,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,55,55-59,From 55 to 59 years,15,22,13,15,23,15,15,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,60,60-64,From 60 to 64 years,18,19,22,15,7,21,16,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,65,65-69,From 65 to 69 years,13,11,19,12,10,14,18,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,70,70-74,From 70 to 74 years,16,13,13,22,10,12,17,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,75,75-79,From 75 to 79 years,12,9,11,14,9,16,23,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,80,80-84,From 80 to 84 years,17,11,13,17,19,14,10,,,,,,,
Austria,Malignant neoplasm of cervix uteri,Cervix Uteri,85,85,85 years or over,21,15,23,20,24,14,26,,,,,,,
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",20,20-24,From 20 to 24 years,0,1,1,0,0,0,1,1,1,0,3,0,0,1
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",25,25-29,From 25 to 29 years,1,2,0,0,1,0,0,0,0,0,0,4,2,1
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",30,30-34,From 30 to 34 years,4,3,0,3,1,3,2,1,1,2,1,0,3,5
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",35,35-39,From 35 to 39 years,3,1,2,2,3,0,4,5,10,4,2,7,2,5
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",40,40-44,From 40 to 44 years,11,13,6,6,4,9,4,8,6,3,7,11,10,9
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",45,45-49,From 45 to 49 years,16,17,11,17,14,18,21,15,17,17,16,11,33,22
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",50,50-54,From 50 to 54 years,28,29,36,24,21,31,26,35,36,36,48,36,27,49
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",55,55-59,From 55 to 59 years,34,34,51,40,38,38,33,68,65,53,57,55,83,67
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",60,60-64,From 60 to 64 years,55,54,50,67,47,41,56,113,103,94,112,103,88,104
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",65,65-69,From 65 to 69 years,79,84,75,85,71,76,85,144,136,131,145,127,154,133
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",70,70-74,From 70 to 74 years,107,116,121,125,131,108,88,181,194,202,210,193,174,187
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",75,75-79,From 75 to 79 years,114,125,114,115,102,148,161,183,162,173,161,216,248,251
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",80,80-84,From 80 to 84 years,213,169,178,176,141,155,136,217,193,227,221,179,188,172
Austria,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal","Colon, Rectosigmoid Junction, Rectum, Anus and Anal Canal",85,85,85 years or over,343,360,356,337,332,289,324,201,222,251,198,214,216,222
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",1,1-4,From 1 to 4 years,0,2,1,0,0,0,1,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",5,5-9,From 5 to 9 years,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",10,10-14,From 10 to 14 years,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",15,15-19,From 15 to 19 years,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",25,25-29,From 25 to 29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",30,30-34,From 30 to 34 years,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",35,35-39,From 35 to 39 years,1,1,0,0,0,0,1,1,1,0,3,1,1,0
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",40,40-44,From 40 to 44 years,3,0,0,1,1,3,0,2,3,0,2,2,2,3
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",45,45-49,From 45 to 49 years,3,4,3,2,3,1,5,5,8,3,7,5,5,4
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",50,50-54,From 50 to 54 years,3,7,4,7,2,4,5,13,13,14,5,13,11,5
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",55,55-59,From 55 to 59 years,6,8,3,5,3,7,7,10,12,13,17,23,14,17
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",60,60-64,From 60 to 64 years,16,10,7,13,12,4,4,25,25,20,14,19,20,23
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",65,65-69,From 65 to 69 years,16,14,21,13,11,13,10,25,20,26,29,36,28,41
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",70,70-74,From 70 to 74 years,27,27,37,32,21,28,14,44,33,34,44,36,42,40
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",75,75-79,From 75 to 79 years,28,25,14,31,26,42,30,34,22,35,34,42,32,52
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",80,80-84,From 80 to 84 years,49,44,29,36,35,35,32,35,36,40,31,37,36,31
Austria,"Malignant neoplasm of kidney, except renal pelvis","Kidney, Except Renal Pelvis",85,85,85 years or over,54,57,58,60,60,50,57,30,25,42,41,42,59,44
Austria,Malignant neoplasm of larynx,Larynx,1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,25,25-29,From 25 to 29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,30,30-34,From 30 to 34 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,35,35-39,From 35 to 39 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,40,40-44,From 40 to 44 years,0,0,0,0,0,3,0,1,1,2,1,0,0,0
Austria,Malignant neoplasm of larynx,Larynx,45,45-49,From 45 to 49 years,1,0,0,0,1,0,0,4,5,7,3,0,2,4
Austria,Malignant neoplasm of larynx,Larynx,50,50-54,From 50 to 54 years,1,1,0,4,1,0,2,11,18,5,11,5,5,3
Austria,Malignant neoplasm of larynx,Larynx,55,55-59,From 55 to 59 years,2,2,1,1,6,3,1,10,13,14,14,13,16,16
Austria,Malignant neoplasm of larynx,Larynx,60,60-64,From 60 to 64 years,1,1,1,2,2,3,3,15,22,24,14,18,24,15
Austria,Malignant neoplasm of larynx,Larynx,65,65-69,From 65 to 69 years,2,2,5,2,1,1,2,28,24,22,23,8,25,22
Austria,Malignant neoplasm of larynx,Larynx,70,70-74,From 70 to 74 years,2,5,2,4,4,4,3,16,19,20,13,29,24,24
Austria,Malignant neoplasm of larynx,Larynx,75,75-79,From 75 to 79 years,0,1,1,4,1,2,2,12,9,15,16,11,16,13
Austria,Malignant neoplasm of larynx,Larynx,80,80-84,From 80 to 84 years,2,2,2,0,1,0,3,10,12,9,5,13,8,11
Austria,Malignant neoplasm of larynx,Larynx,85,85,85 years or over,1,1,2,1,5,2,3,12,9,9,7,17,6,13
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",20,20-24,From 20 to 24 years,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",25,25-29,From 25 to 29 years,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",30,30-34,From 30 to 34 years,0,0,1,0,2,0,0,0,0,1,0,1,1,1
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",35,35-39,From 35 to 39 years,0,0,1,0,2,1,1,4,2,1,1,1,0,0
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",40,40-44,From 40 to 44 years,2,1,1,1,1,1,1,7,5,5,3,5,5,2
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",45,45-49,From 45 to 49 years,6,4,4,5,3,1,3,17,16,21,18,17,20,9
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",50,50-54,From 50 to 54 years,9,9,7,8,8,5,8,45,43,38,49,34,42,32
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",55,55-59,From 55 to 59 years,15,15,10,13,15,17,15,57,45,47,68,48,69,71
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",60,60-64,From 60 to 64 years,15,15,14,12,14,10,12,67,72,43,60,62,85,53
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",65,65-69,From 65 to 69 years,15,26,18,12,19,18,11,62,53,63,55,56,87,74
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",70,70-74,From 70 to 74 years,15,26,15,12,23,31,17,41,62,49,60,62,67,56
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",75,75-79,From 75 to 79 years,16,8,10,15,17,18,22,18,21,27,25,44,40,50
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",80,80-84,From 80 to 84 years,8,11,17,13,12,12,11,22,21,19,25,26,19,19
Austria,"Malignant neoplasm of lip, oral cavity, pharynx","Lip, Oral Cavity, Pharynx",85,85,85 years or over,26,21,23,33,39,21,34,15,23,26,30,21,19,31
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,20,20-24,From 20 to 24 years,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,25,25-29,From 25 to 29 years,0,1,0,1,0,0,1,2,0,1,0,1,0,0
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,30,30-34,From 30 to 34 years,0,2,0,1,0,0,0,0,0,1,0,0,2,2
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,35,35-39,From 35 to 39 years,1,0,0,1,0,1,1,4,1,1,2,0,0,4
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,40,40-44,From 40 to 44 years,0,3,0,2,2,2,2,2,7,3,2,3,1,3
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,45,45-49,From 45 to 49 years,8,4,4,6,9,3,5,6,12,15,11,13,11,8
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,50,50-54,From 50 to 54 years,10,11,11,9,10,2,9,33,25,26,16,31,19,21
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,55,55-59,From 55 to 59 years,5,12,18,19,11,9,19,45,47,61,46,42,49,42
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,60,60-64,From 60 to 64 years,19,17,20,25,30,19,27,78,86,66,73,69,65,63
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,65,65-69,From 65 to 69 years,33,30,26,28,33,23,36,76,75,99,85,107,91,113
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,70,70-74,From 70 to 74 years,40,45,36,45,50,28,40,91,150,116,137,119,113,123
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,75,75-79,From 75 to 79 years,31,58,46,52,47,33,52,91,75,103,92,116,133,126
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,80,80-84,From 80 to 84 years,55,52,42,47,53,43,47,72,67,67,77,85,69,79
Austria,Malignant neoplasm of liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Ducts,85,85,85 years or over,63,79,82,65,48,50,51,34,44,60,67,48,48,57
Austria,Malignant neoplasm of oesophagus,Oesophagus,1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,25,25-29,From 25 to 29 years,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,30,30-34,From 30 to 34 years,1,0,0,1,0,0,0,0,0,0,0,2,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,35,35-39,From 35 to 39 years,0,0,0,0,1,0,0,3,0,1,0,1,0,0
Austria,Malignant neoplasm of oesophagus,Oesophagus,40,40-44,From 40 to 44 years,1,1,0,0,0,2,0,4,5,2,6,2,2,5
